filename,composer,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,chord_C:maj,chord_G#:maj,chord_F:maj,chord_G:maj,chord_Bb:maj,chord_Eb:maj,chord_C#:maj,chord_C:min,chord_F:min,chord_A:maj,chord_F#:maj,chord_D:maj,chord_E:maj,chord_Bb:min,chord_A:min,chord_G:min,chord_C#:min,chord_Eb:min,chord_E:min,chord_G#:min,chord_D:min,chord_F#:min,chord_B:min,chord_B:maj,rh_bin_16th,rh_bin_8th,rh_bin_qtr,rh_bin_half,rh_bin_whole,rh_mean_dur,rh_var_dur,rh_mean_ioi,rh_var_ioi
chopin_op33_4.mid,chopin,0.0509304603330068,0.1224289911851126,0.1057786483839373,0.0519098922624877,0.0793339862879529,0.0509304603330068,0.1586679725759059,0.0832517140058766,0.0548481880509304,0.0460333006856023,0.0675808031341821,0.128305582761998,0,0,0,0,32,10,0,0,0,0,16,0,4,2,0,0,2,17,20,6,0,10,36,8,0.6268364348677767,0.6797257590597453,0.4201762977473066,0.0416258570029383,0.0,0.8819784524975515,0.3759664415859841,0.6578431372549022,0.4005348904267566
chopin_op35_2.mid,chopin,0.0507042253521126,0.1873239436619718,0.0169014084507042,0.0915492957746478,0.0183098591549295,0.1126760563380281,0.1239436619718309,0.028169014084507,0.1183098591549295,0.0211267605633802,0.1676056338028169,0.0633802816901408,4,21,10,20,7,22,36,3,4,14,136,16,20,30,0,0,2,13,0,39,0,42,2,10,0.0676056338028169,0.8338028169014085,0.4295774647887324,0.0683098591549295,0.0,0.9623239436619718,0.3805347401309263,1.3427362482369534,21.99854032676787
chopin_op35_3.mid,chopin,0.0903954802259887,0.1610169491525423,0.0169491525423728,0.135593220338983,0.0141242937853107,0.1426553672316384,0.1271186440677966,0.0084745762711864,0.1483050847457627,0.0056497175141242,0.1497175141242938,0.0,0,4,4,0,0,0,12,0,4,0,80,0,0,31,0,0,0,0,0,0,0,0,0,0,0.4293785310734463,1.4519774011299436,0.1073446327683615,0.0296610169491525,0.0,0.6177024482109227,0.1533228442940699,0.6053748231966054,1.5962158071737669
chopin_op35_1.mid,chopin,0.083232077764277,0.1184690157958687,0.0291616038882138,0.1111786148238153,0.0352369380315917,0.1670716889428918,0.0826245443499392,0.0589307411907654,0.1087484811664641,0.0534629404617253,0.1269744835965978,0.0249088699878493,11,17,18,18,59,9,85,9,13,16,18,4,3,41,6,13,4,17,6,1,4,3,1,15,3.343863912515189,0.0923450789793438,0.0735115431348724,0.0215674362089914,0.0,0.4215775617658996,0.1987700980411485,0.4243161094224928,2.855433718379495
chopin_op25_e4.mid,chopin,0.1758793969849246,0.0326633165829145,0.1105527638190954,0.0301507537688442,0.1231155778894472,0.0552763819095477,0.007537688442211,0.0376884422110552,0.0703517587939698,0.1909547738693467,0.0226130653266331,0.14321608040201,14,6,6,2,15,0,15,14,15,3,0,1,7,0,54,0,0,2,16,0,24,0,0,0,2.472361809045226,0.2462311557788944,0.1758793969849246,0.0339195979899497,0.0,0.6469849246231156,0.6354306078129341,0.6505037783375315,0.108173549733835
chopin_op33_2.mid,chopin,0.0108803165182987,0.1295746785361028,0.2077151335311572,0.0009891196834817,0.1048466864490603,0.0187932739861523,0.1414441147378833,0.0919881305637982,0.0583580613254203,0.1641938674579624,0.0079129574678536,0.0633036597428288,0,0,3,0,4,0,3,0,0,43,1,108,4,1,0,8,0,0,16,0,0,4,8,0,0.6528189910979229,0.9812067260138476,0.2908011869436201,0.0276953511374876,0.0,0.7540389053742174,0.3247927321933756,0.4227722772277226,0.1867338986373904
chopin_op35_4.mid,chopin,0.1117445838084378,0.1197263397947548,0.0342075256556442,0.1128848346636259,0.0535917901938426,0.1322690992018244,0.0912200684150513,0.0501710376282782,0.064994298745724,0.0661345496009122,0.1174458380843785,0.0456100342075256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7388825541619156,1.628278221208666,0.0011402508551881,0.0,0.0,0.4847966552641582,0.0076872670254273,0.1688533941814038,0.0330972021233904
chopin_op25_e1.mid,chopin,0.208067940552017,0.0955414012738853,0.0297239915074309,0.1910828025477707,0.0509554140127388,0.1104033970276008,0.0127388535031847,0.0700636942675159,0.1104033970276008,0.019108280254777,0.0764331210191082,0.0254777070063694,21,216,2,2,2,13,27,6,13,7,0,1,2,10,0,0,1,0,1,0,0,0,0,1,2.4713375796178343,0.0084925690021231,0.3673036093418259,0.0042462845010615,0.0,0.5610403397027601,0.2235829941264238,0.4127659574468085,0.5974434133091895
chopin_op25_e3.mid,chopin,0.1526054590570719,0.0732009925558312,0.0459057071960297,0.0347394540942928,0.075682382133995,0.21712158808933,0.1116625310173697,0.0930521091811414,0.0421836228287841,0.0421836228287841,0.0483870967741935,0.0632754342431761,1,8,44,9,2,1,2,1,0,0,2,4,0,2,0,2,4,0,0,8,3,0,2,2,2.2828784119106698,0.8535980148883374,0.0024813895781637,0.0,0.0,0.3884408602150537,0.0312459699654025,0.2583850931677018,0.1091688206473515
chopin_op53.mid,chopin,0.1136363636363636,0.0811688311688311,0.0438311688311688,0.1461038961038961,0.0405844155844155,0.0957792207792207,0.0503246753246753,0.1233766233766233,0.1071428571428571,0.0324675324675324,0.1331168831168831,0.0324675324675324,33,59,3,9,3,36,31,14,30,3,2,4,77,39,1,6,14,21,0,36,1,0,0,2,3.3790849673202614,0.1699346405228758,0.0604575163398692,0.0049019607843137,0.0,0.3464556277056276,0.0786404857655857,0.8524390243902439,7.021168396236759
chopin_op25_e2.mid,chopin,0.2095959595959595,0.1035353535353535,0.0025252525252525,0.0959595959595959,0.0732323232323232,0.1363636363636363,0.0101010101010101,0.0959595959595959,0.1691919191919192,0.0025252525252525,0.0984848484848484,0.0025252525252525,6,0,0,0,0,2,0,2,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3.929113924050633,0.030379746835443,0.0,0.0012658227848101,0.0,0.3400673400673383,0.0080565050051582,0.3468354430379735,0.0300216311488542
chopin-p7.mid,chopin,0.0,0.0526315789473684,0.2105263157894736,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.1052631578947368,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.631578947368421,0.1052631578947368,0.5789473684210527,0.1052631578947368,0.0,1.118421052631579,0.331371191135734,2.5555555555555554,5.184413580246914
chopin-p6.mid,chopin,0.0701754385964912,0.0491228070175438,0.1859649122807017,0.0,0.0736842105263157,0.0105263157894736,0.143859649122807,0.0736842105263157,0.0,0.0140350877192982,0.0596491228070175,0.3192982456140351,20,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,61,0,0.8421052631578947,1.2140350877192982,0.1614035087719298,0.0105263157894736,0.0,0.5859649122807018,0.1461188057863958,0.2658450704225352,0.0552066802221781
