filename,composer,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11
chopin_op33_4.mid,chopin,52,125,108,53,81,52,162,85,56,47,69,131
chopin_op35_2.mid,chopin,36,133,12,65,13,80,88,20,84,15,119,45
chopin_op35_3.mid,chopin,64,114,12,96,10,101,90,6,105,4,106,0
chopin_op35_1.mid,chopin,137,195,48,183,58,275,136,97,179,88,209,41
chopin_op25_e4.mid,chopin,70,13,44,12,49,22,3,15,28,76,9,57
chopin_op33_2.mid,chopin,11,131,210,1,106,19,143,93,59,166,8,64
chopin_op35_4.mid,chopin,196,210,60,198,94,232,160,88,114,116,206,80
chopin_op25_e1.mid,chopin,98,45,14,90,24,52,6,33,52,9,36,12
chopin_op25_e3.mid,chopin,123,59,37,28,61,175,90,75,34,34,39,51
chopin_op53.mid,chopin,70,50,27,90,25,59,31,76,66,20,82,20
chopin_op25_e2.mid,chopin,83,41,1,38,29,54,4,38,67,1,39,1
chopin-p7.mid,chopin,0,1,4,0,6,0,0,0,0,6,0,2
chopin-p6.mid,chopin,20,14,53,0,21,3,41,21,0,4,17,91
chopin-p15.mid,chopin,28,55,1,31,3,51,15,2,442,2,27,2
chopin-p17.mid,chopin,65,31,4,34,18,12,6,3,38,2,24,7
chopin-p4.mid,chopin,11,0,3,4,10,0,10,3,2,13,3,19
chopin_op23.mid,chopin,209,51,413,265,94,196,125,294,147,168,395,76
chopin-p16.mid,chopin,103,115,30,117,58,125,86,19,57,54,103,20
chopin-p5.mid,chopin,5,39,58,0,58,9,44,45,8,85,21,48
chopin-p1.mid,chopin,17,1,3,2,11,2,1,17,1,17,2,7
chopin-p12.mid,chopin,6,23,8,46,19,4,13,11,18,14,38,51
chopin-p13.mid,chopin,20,79,5,54,16,59,87,11,63,1,61,41
chopin-p11.mid,chopin,0,23,1,34,11,3,79,1,20,0,17,25
chopin-p2.mid,chopin,2,1,10,0,6,4,7,1,1,10,0,12
chopin_op18.mid,chopin,81,103,53,262,54,234,72,115,300,33,212,60
chopin_op31.mid,chopin,246,500,109,296,252,366,350,104,710,226,158,214
chopin-p10.mid,chopin,0,5,2,14,13,0,5,0,18,14,1,0
chopin-p3.mid,chopin,49,6,117,1,64,9,16,113,0,121,0,90
chopin-p21.mid,chopin,7,1,13,14,8,47,9,22,0,15,31,0
chopin_op27_2.mid,chopin,55,200,30,145,57,186,154,15,144,52,74,17
chopin-p20.mid,chopin,0,0,2,0,0,3,2,0,0,1,0,0
chopin-p22.mid,chopin,13,0,7,18,0,8,12,19,5,5,1,0
chopin_op27_1.mid,chopin,41,279,69,49,70,36,81,24,265,119,11,55
chopin-p23.mid,chopin,113,0,39,2,24,100,0,58,2,79,15,7
chopin-p8.mid,chopin,29,144,69,62,35,64,137,15,58,52,47,62
chopin_op10_e12.mid,chopin,85,29,81,56,11,53,17,76,44,7,26,29
chopin-p9.mid,chopin,13,12,13,19,33,3,3,6,6,3,0,40
chopin-p18.mid,chopin,36,16,5,14,15,28,11,26,17,15,34,10
chopin-p24.mid,chopin,89,38,131,18,88,113,10,69,58,191,23,26
chopin_op10_e05.mid,chopin,7,25,0,0,0,1,7,0,18,0,8,11
chopin-p19.mid,chopin,83,56,78,234,20,142,49,126,85,46,260,46
chopin_op25_e12.mid,chopin,616,81,213,226,129,285,17,518,337,27,54,127
chopin_op7_2.mid,chopin,18,42,89,27,82,33,19,13,15,82,19,50
chopin_op25_e11.mid,chopin,29,7,13,10,49,15,9,18,24,28,3,22
chopin_op7_1.mid,chopin,66,14,50,18,34,132,2,55,0,57,97,0
chopin_op66.mid,chopin,168,520,28,402,210,129,333,52,601,212,130,99
beethoven_opus90_2.mid,beethoven,71,200,36,171,312,47,306,45,262,224,68,622
beethoven_opus90_1.mid,beethoven,90,33,85,28,174,39,139,162,19,109,38,186
beethoven_pathetique_1.mid,beethoven,650,104,210,430,99,282,95,567,385,89,414,87
beethoven_pathetique_2.mid,beethoven,55,56,16,126,16,41,2,64,82,6,75,7
beethoven_pathetique_3.mid,beethoven,330,33,237,235,49,209,28,321,116,48,134,134
beethoven_opus10_2.mid,beethoven,105,74,24,217,14,58,8,73,131,18,77,26
beethoven_opus10_3.mid,beethoven,303,10,166,253,25,125,28,181,115,17,89,139
beethoven_mond_1.mid,beethoven,48,152,18,75,112,15,128,34,171,84,8,85
beethoven_mond_3.mid,beethoven,150,716,97,488,333,79,263,146,1146,269,136,251
beethoven_opus10_1.mid,beethoven,310,43,141,308,53,216,46,293,121,63,272,77
beethoven_mond_2.mid,beethoven,15,57,0,32,0,18,31,10,66,0,38,3
beethoven_elise.mid,beethoven,81,0,38,54,233,18,0,20,24,178,23,68
beethoven_les_adieux_3.mid,beethoven,270,35,231,272,39,371,65,401,221,86,479,35
beethoven_les_adieux_2.mid,beethoven,70,19,69,23,11,37,19,49,20,27,23,15
beethoven_les_adieux_1.mid,beethoven,240,9,123,226,13,247,33,142,107,83,400,46
beethoven_waldstein_3.mid,beethoven,461,54,311,117,327,262,59,696,88,183,61,307
beethoven_opus22_1.mid,beethoven,395,133,388,230,240,681,73,236,84,335,528,82
beethoven_appass_1.mid,beethoven,714,422,55,392,303,351,122,254,574,77,297,152
beethoven_waldstein_2.mid,beethoven,19,6,8,3,13,36,3,20,7,18,14,19
beethoven_opus22_2.mid,beethoven,48,30,61,176,20,98,39,66,69,19,164,42
beethoven_appass_3.mid,beethoven,858,405,89,251,227,787,220,367,511,142,449,117
beethoven_hammerklavier_4.mid,beethoven,435,315,493,416,327,449,348,490,269,393,476,302
beethoven_appass_2.mid,beethoven,39,109,0,62,0,78,96,4,152,8,13,1
beethoven_opus22_3.mid,beethoven,127,25,201,142,22,167,65,140,16,127,163,44
beethoven_waldstein_1.mid,beethoven,620,167,469,391,679,341,293,654,359,574,173,862
beethoven_hammerklavier_1.mid,beethoven,356,128,499,295,165,405,263,434,99,301,367,273
beethoven_opus22_4.mid,beethoven,103,20,119,99,21,379,22,92,38,106,190,27
beethoven_hammerklavier_3.mid,beethoven,19,159,65,47,41,43,132,77,82,105,44,86
beethoven_hammerklavier_2.mid,beethoven,55,16,56,31,11,52,5,39,6,12,31,30
haydn_43_1.mid,haydn,297,174,113,456,17,235,19,259,433,8,332,29
haydn_43_2.mid,haydn,71,33,22,151,0,44,0,36,95,3,53,0
haydn_8_4.mid,haydn,50,0,90,0,12,0,20,88,0,38,0,62
haydn_43_3.mid,haydn,293,187,89,427,28,179,13,188,338,6,257,43
haydn_8_1.mid,haydn,58,14,160,0,46,0,50,134,0,76,0,78
haydn_8_3.mid,haydn,34,2,56,0,18,2,16,68,2,28,0,38
haydn_8_2.mid,haydn,26,4,30,0,22,0,22,48,2,30,0,38
haydn_40_1.mid,haydn,132,50,430,42,112,20,186,302,6,206,54,142
haydn_40_2.mid,haydn,76,37,222,38,136,40,109,200,5,154,28,125
haydn_9_3.mid,haydn,98,0,10,0,40,80,0,44,0,44,28,2
haydn_9_2.mid,haydn,158,3,54,28,79,162,0,95,14,101,105,23
haydn_9_1.mid,haydn,104,0,46,0,40,96,0,86,0,58,40,6
haydn_7_3.mid,haydn,118,0,146,10,72,46,6,212,0,30,0,83
haydn_7_2.mid,haydn,104,0,69,19,31,31,10,115,7,26,2,36
haydn_7_1.mid,haydn,66,0,34,0,40,22,2,82,0,28,0,22
haydn_33_1.mid,haydn,30,179,282,49,254,13,216,144,77,273,32,233
haydn_33_2.mid,haydn,22,18,40,2,24,31,4,23,5,48,33,0
haydn_33_3.mid,haydn,36,90,289,12,150,98,134,178,18,242,54,64
haydn_35_1.mid,haydn,461,42,478,29,368,168,157,628,32,250,46,359
haydn_35_2.mid,haydn,326,16,118,20,128,206,16,268,2,162,120,34
haydn_35_3.mid,haydn,124,2,138,39,99,91,37,203,21,76,15,80
