filename,composer,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,chord_C:maj,chord_G#:maj,chord_F:maj,chord_G:maj,chord_Bb:maj,chord_Eb:maj,chord_C#:maj,chord_C:min,chord_F:min,chord_A:maj,chord_F#:maj,chord_D:maj,chord_E:maj,chord_Bb:min,chord_A:min,chord_G:min,chord_C#:min,chord_Eb:min,chord_E:min,chord_G#:min,chord_D:min,chord_F#:min,chord_B:min,chord_B:maj,rh_bin_16th,rh_bin_8th,rh_bin_qtr,rh_bin_half,rh_bin_whole,rh_mean_dur,rh_var_dur,rh_mean_ioi,rh_var_ioi
chopin_op33_4.mid,chopin,0.0509304603330068,0.1224289911851126,0.1057786483839373,0.0519098922624877,0.0793339862879529,0.0509304603330068,0.1586679725759059,0.0832517140058766,0.0548481880509304,0.0460333006856023,0.0675808031341821,0.128305582761998,0,0,0,0,32,10,0,0,0,0,16,0,4,2,0,0,2,17,20,6,0,10,36,8,0.6268364348677767,0.6797257590597453,0.4201762977473066,0.0416258570029383,0.0,0.8819784524975515,0.3759664415859841,0.6578431372549022,0.4005348904267566
mozart_333_1.mid,mozart,0.1592733417828475,0.0160540768905787,0.1292775665399239,0.0963244613434727,0.0515420363329108,0.1727925644275454,0.0122517955217575,0.0975918884664131,0.0173215040135192,0.0963244613434727,0.1351922264469792,0.0160540768905787,10,0,32,10,48,22,0,8,0,0,0,8,0,0,4,22,0,0,4,0,6,0,0,0,2.3609341825902335,0.6454352441613588,0.0836518046709129,0.0016985138004246,0.0,0.4104703562878442,0.0628576767136074,0.2786815972955841,0.0676989167900115
mozart_331_2.mid,mozart,0.0225646670335718,0.1139240506329113,0.1122729774353329,0.0286186020913593,0.1849201981287837,0.0220143093010456,0.0676940011007154,0.0517336268574573,0.0764997248211337,0.1689598238855255,0.0088057237204182,0.1419922949917446,12,0,6,6,0,0,0,0,3,44,0,28,21,0,0,0,0,0,4,0,12,12,4,2,0.973032471106219,1.177765547605944,0.1441937259218492,0.011832691249312,0.0,0.5608603925885159,0.1257944226916317,0.4101046255506608,0.3005986124015117
haydn_9_1.mid,haydn,0.2184873949579832,0.0,0.0966386554621848,0.0,0.0840336134453781,0.2016806722689075,0.0,0.180672268907563,0.0,0.1218487394957983,0.0840336134453781,0.0126050420168067,2,0,42,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.9411764705882352,1.0084033613445378,0.226890756302521,0.0168067226890756,0.0,0.6407563025210088,0.1337240778664408,0.6947368421052628,0.611258848876575
haydn_35_1.mid,haydn,0.1527501656726309,0.0139165009940357,0.1583830351225977,0.0096090125911199,0.1219350563286945,0.0556660039761431,0.0520212060967528,0.2080848243870112,0.0106030483764082,0.0828363154406892,0.0152418820410868,0.1189529489728297,32,0,7,34,0,0,0,0,0,3,0,13,4,0,3,0,0,0,1,0,4,0,2,0,3.5294897282968853,0.0941020543406229,0.050364479787939,0.0076209410205434,0.0,0.4112823061630214,0.1467638626491479,0.3132250580046499,0.2024047391327192
beethoven_appass_2.mid,beethoven,0.0693950177935943,0.193950177935943,0.0,0.1103202846975089,0.0,0.1387900355871886,0.1708185053380783,0.0071174377224199,0.2704626334519573,0.0142348754448398,0.0231316725978647,0.0017793594306049,0,45,0,0,0,0,114,0,0,0,14,0,0,3,0,0,1,11,0,2,0,2,0,1,2.6903914590747333,0.3558718861209964,0.1387900355871886,0.0053380782918149,0.0,0.4306049822064057,0.1089891950878695,0.5142602495543672,1.362690287588057
beethoven_opus90_2.mid,beethoven,0.0300338409475465,0.0846023688663282,0.015228426395939,0.0723350253807106,0.1319796954314721,0.0198815566835871,0.1294416243654822,0.0190355329949238,0.11082910321489,0.0947546531302876,0.0287648054145516,0.2631133671742808,12,2,0,3,1,0,9,9,0,34,9,5,111,2,4,1,33,2,2,7,7,10,0,89,3.4331641285956005,0.2030456852791878,0.0351099830795262,0.0025380710659898,0.0,0.3159193457416804,0.0417923067116606,0.2452391028353787,0.0271173865219391
beethoven_opus90_1.mid,beethoven,0.0816696914700544,0.0299455535390199,0.0771324863883847,0.0254083484573502,0.1578947368421052,0.0353901996370235,0.1261343012704174,0.147005444646098,0.0172413793103448,0.0989110707803992,0.0344827586206896,0.1687840290381125,10,1,15,13,0,5,0,1,0,0,4,10,13,1,16,2,0,4,39,0,0,0,24,2,2.297640653357532,0.20508166969147,0.2268602540834845,0.0480943738656987,0.0,0.6547186932849365,0.4147720473033153,0.6666666666666666,3.3106267029972867
haydn_33_3.mid,haydn,0.0263736263736263,0.0659340659340659,0.2117216117216117,0.0087912087912087,0.1098901098901098,0.0717948717948717,0.0981684981684981,0.1304029304029304,0.0131868131868131,0.1772893772893773,0.0395604395604395,0.0468864468864468,4,0,28,0,10,6,0,0,0,13,0,17,0,0,2,10,0,0,0,0,12,0,0,0,2.561172161172161,0.2754578754578755,0.2146520146520146,0.0036630036630036,0.0,0.4943833943833952,0.1353367891096828,0.3511730205278592,0.0918534627325186
beethoven_pathetique_1.mid,beethoven,0.1905041031652989,0.0304806565064478,0.0615474794841735,0.1260257913247362,0.0290152403282532,0.0826494724501758,0.0278429073856975,0.1661781946072684,0.1128370457209847,0.026084407971864,0.1213364595545134,0.0254982415005861,21,60,0,35,32,37,48,167,90,0,4,14,0,10,0,4,0,82,6,4,0,0,0,0,2.656506447831184,0.4871043376318874,0.0460140679953106,0.0230070339976553,0.0,0.4326152794060179,0.1664265555200839,0.2808560539431252,0.4247844914460527
